Image,Mask
10_100.tif,10_100_mask.tif
10_101.tif,10_101_mask.tif
10_102.tif,10_102_mask.tif
10_103.tif,10_103_mask.tif
10_104.tif,10_104_mask.tif
10_105.tif,10_105_mask.tif
10_106.tif,10_106_mask.tif
10_107.tif,10_107_mask.tif
10_108.tif,10_108_mask.tif
10_109.tif,10_109_mask.tif
10_10.tif,10_10_mask.tif
10_110.tif,10_110_mask.tif
10_111.tif,10_111_mask.tif
10_112.tif,10_112_mask.tif
10_113.tif,10_113_mask.tif
10_114.tif,10_114_mask.tif
10_115.tif,10_115_mask.tif
10_116.tif,10_116_mask.tif
10_117.tif,10_117_mask.tif
10_118.tif,10_118_mask.tif
10_119.tif,10_119_mask.tif
10_11.tif,10_11_mask.tif
10_120.tif,10_120_mask.tif
10_12.tif,10_12_mask.tif
10_13.tif,10_13_mask.tif
10_14.tif,10_14_mask.tif
10_15.tif,10_15_mask.tif
10_16.tif,10_16_mask.tif
10_17.tif,10_17_mask.tif
10_18.tif,10_18_mask.tif
10_19.tif,10_19_mask.tif
10_1.tif,10_1_mask.tif
10_20.tif,10_20_mask.tif
10_21.tif,10_21_mask.tif
10_22.tif,10_22_mask.tif
10_23.tif,10_23_mask.tif
10_24.tif,10_24_mask.tif
10_25.tif,10_25_mask.tif
10_26.tif,10_26_mask.tif
10_27.tif,10_27_mask.tif
10_28.tif,10_28_mask.tif
10_29.tif,10_29_mask.tif
10_2.tif,10_2_mask.tif
10_30.tif,10_30_mask.tif
10_31.tif,10_31_mask.tif
10_32.tif,10_32_mask.tif
10_33.tif,10_33_mask.tif
10_34.tif,10_34_mask.tif
10_35.tif,10_35_mask.tif
10_36.tif,10_36_mask.tif
10_37.tif,10_37_mask.tif
10_38.tif,10_38_mask.tif
10_39.tif,10_39_mask.tif
10_3.tif,10_3_mask.tif
10_40.tif,10_40_mask.tif
10_41.tif,10_41_mask.tif
10_42.tif,10_42_mask.tif
10_43.tif,10_43_mask.tif
10_44.tif,10_44_mask.tif
10_45.tif,10_45_mask.tif
10_46.tif,10_46_mask.tif
10_47.tif,10_47_mask.tif
10_48.tif,10_48_mask.tif
10_49.tif,10_49_mask.tif
10_4.tif,10_4_mask.tif
10_50.tif,10_50_mask.tif
10_51.tif,10_51_mask.tif
10_52.tif,10_52_mask.tif
10_53.tif,10_53_mask.tif
10_54.tif,10_54_mask.tif
10_55.tif,10_55_mask.tif
10_56.tif,10_56_mask.tif
10_57.tif,10_57_mask.tif
10_58.tif,10_58_mask.tif
10_59.tif,10_59_mask.tif
10_5.tif,10_5_mask.tif
10_60.tif,10_60_mask.tif
10_61.tif,10_61_mask.tif
10_62.tif,10_62_mask.tif
10_63.tif,10_63_mask.tif
10_64.tif,10_64_mask.tif
10_65.tif,10_65_mask.tif
10_66.tif,10_66_mask.tif
10_67.tif,10_67_mask.tif
10_68.tif,10_68_mask.tif
10_69.tif,10_69_mask.tif
10_6.tif,10_6_mask.tif
10_70.tif,10_70_mask.tif
10_71.tif,10_71_mask.tif
10_72.tif,10_72_mask.tif
10_73.tif,10_73_mask.tif
10_74.tif,10_74_mask.tif
10_75.tif,10_75_mask.tif
10_76.tif,10_76_mask.tif
10_77.tif,10_77_mask.tif
10_78.tif,10_78_mask.tif
10_79.tif,10_79_mask.tif
10_7.tif,10_7_mask.tif
10_80.tif,10_80_mask.tif
10_81.tif,10_81_mask.tif
10_82.tif,10_82_mask.tif
10_83.tif,10_83_mask.tif
10_84.tif,10_84_mask.tif
10_85.tif,10_85_mask.tif
10_86.tif,10_86_mask.tif
10_87.tif,10_87_mask.tif
10_88.tif,10_88_mask.tif
10_89.tif,10_89_mask.tif
10_8.tif,10_8_mask.tif
